DBN,School Name,# of Test Takers,Critical Reading Mean,Mathematics Mean,Writing Mean
01M292,Henry Street School for International Studies ,31,674,735,678
01M448,University Neighborhood High School ,60,638,685,643
01M450,East Side Community High School ,69,637,673,642
01M458,SATELLITE ACADEMY FORSYTH ST ,26,635,652,630
01M509,CMSP HIGH SCHOOL ,,632,650,619
01M515,Lower East Side Preparatory High School ,154,630,644,617
01M539,"New Explorations into Sci, Tech and Math HS ",47,613,630,612
01M650,CASCADES HIGH SCHOOL ,35,592,627,581
01M696,BARD HIGH SCHOOL EARLY COLLEGE ,138,588,612,575
02M047,AMERICAN SIGN LANG ENG DUAL ,11,573,608,575
02M288,FOOD AND FNANCE HIGH SCHOOL ,50,568,597,570
02M294,HIGH SCHOOL FOR HIST AND COMM ,51,561,596,568
02M296,High School of Hospitality Management ,43,560,587,567
02M298,PACE HIGH SCHOOL ,71,558,583,567
02M300,Urban Assembly School of Design and Construction ,49,555,583,567
02M303,The Facing History School ,59,545,578,559
02M305,Urban Assembly Academy of Government and Law ,48,543,563,541
02M308,LOWER MANHATTAN ARTS ACADEMY ,35,536,555,528
02M313,The James Baldwin School ,45,525,554,527
02M316,Urban Assembly School of Business for Young Women ,52,523,551,523
02M374,GRAMERCY ARTS HIGH SCHOOL ,49,513,548,515
02M376,NYC iSchool ,,512,543,515
02M400,HIGH SCHOOL ENVRNMNTL STUDIES ,216,508,534,502
02M407,Institute for Collaborative Education ,42,506,532,502
02M408,Professional Performng Arts School ,69,502,532,499
02M411,Baruch College Campus High School ,96,495,531,499
02M412,New York City Laboratory School Collab Studies ,108,493,531,492
02M413,SCHOOL OF THE FUTURE ,79,486,530,491
02M414,NEW YORK CITY MUSEUM SCHOOL ,90,485,525,475
02M416,ELEANOR ROOSEVELT HIGH SCHOOL ,122,484,523,472
02M418,Millennium High School ,140,481,505,472
02M419,LANDMARK SCHOOL ,47,476,503,470
02M420,HIGH SCHOOL HLTH PROF HUMAN ,250,475,495,469
02M425,HIGH SCHOOL LEADERSHIP PUB SVC ,74,475,503,470
02M429,LEGACY SCH INTEGRATED STUDIES ,31,474,495,468
02M439,MANHATTAN VILLAGE ACADEMY ,90,472,492,467
02M440,Bayard Rustin High School Humanities ,136,472,494,467
02M445,Seward Park High School ,,468,490,466
02M449,VANGUARD HIGH SCHOOL ,54,468,491,466
02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL ,31,465,482,457
02M460,WASHINGTON IRVING HIGH SCHOOL ,163,465,485,461
02M473,YABC at Washington Irving High School ,,465,486,462
02M475,STUYVESANT HIGH SCHOOL ,804,465,488,462
02M489,HS of Economics And Finance ,147,463,482,457
02M500,UNITY HIGH SCHOOL ,31,460,482,454
02M519,TALENT UNLIMITED HIGH SCHOOL ,124,459,479,452
02M520,MURRY BERGTRAUM HIGH SCHOOL ,287,459,480,453
02M529,Jacqueline Kennedy Onassis High School ,88,459,481,454
02M531,NEW YORK CITY PUB SCH REP COMP ,32,457,479,448
02M535,Park West High School ,,455,478,445
02M542,MANHATTAN BRIDGE HIGH SCHOOL ,31,455,478,446
02M543,NEW DESIGN HIGH SCHOOL ,74,454,477,445
02M544,INDEPENDENCE HIGH SCHOOL ,16,453,475,442
02M545,Dual Language and Asian Studies High School ,47,451,471,440
